"Medication Category","Medication Name (Example Brand)","Active Ingredient(s)","Classification","Japanese Equivalent / Availability","Common Brands to Check (for Prohibited Ingredients)","Quantity Threshold (Without Permit)","Reason for Classification","Action Required","Documentation Needed (for Permit)","Est. Permit Processing Time","Official Source / Notes","threshold_numeric","processing_days_min","processing_days_max","item_id"
"Medical Device","EpiPen","Epinephrine","🟡 Yellow","Prescription only.","N/A","Up to 2 units","Exempt from permit as a standard personal emergency set, but is a potent injectable device requiring declaration.","Check 'Yes' on customs form. Show prescription at customs.","Doctor's Prescription/Letter.","N/A","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/dl/qa_01.docx",2,0,0,"epinephrine_below"
"Medical Device","EpiPen","Epinephrine","🟡 Yellow","Prescription only.","N/A","3 or more units","Exceeds the standard personal emergency allowance. All injectable devices in larger quantities require a permit.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",2,14,28,"epinephrine_above"
"Prescription: Mental Health","Xanax (Alprazolam)","Alprazolam","🟡 Yellow","Prescription only, highly controlled.","N/A","Up to 72mg","Controlled psychotropic. Exempt from permit below the legal quantity limit, but declaration is required due to its controlled status.","Check 'Yes' on customs form. Show prescription at customs.","Doctor's Prescription/Letter.","N/A","https://www.ncd.mhlw.go.jp/dl_data/keitai/total.pdf",72,0,0,"alprazolam_below"
"Prescription: Mental Health","Xanax (Alprazolam)","Alprazolam","🟡 Yellow","Prescription only, highly controlled.","N/A","More than 72mg","Controlled psychotropic. Exceeds the legal quantity limit for personal import without a permit.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.ncd.mhlw.go.jp/dl_data/keitai/total.pdf",72,14,28,"alprazolam_above"
"Prescription: Mental Health","Ativan (Lorazepam)","Lorazepam","🟡 Yellow","Prescription only, highly controlled.","N/A","Up to 90mg","Controlled psychotropic. Exempt from permit below the legal quantity limit, but declaration is required due to its controlled status.","Check 'Yes' on customs form. Show prescription at customs.","Doctor's Prescription/Letter.","N/A","https://www.ncd.mhlw.go.jp/dl_data/keitai/total.pdf",90,0,0,"lorazepam_below"
"Prescription: Mental Health","Ativan (Lorazepam)","Lorazepam","🟡 Yellow","Prescription only, highly controlled.","N/A","More than 90mg","Controlled psychotropic. Exceeds the legal quantity limit for personal import without a permit.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.ncd.mhlw.go.jp/dl_data/keitai/total.pdf",90,14,28,"lorazepam_above"
"Prescription: Mental Health","Klonopin (Clonazepam, Rivotril)","Clonazepam","🟡 Yellow","Prescription only, highly controlled.","N/A","Up to 180mg","Controlled psychotropic. Exempt from permit below the legal quantity limit, but declaration is required due to its controlled status.","Check 'Yes' on customs form. Show prescription at customs.","Doctor's Prescription/Letter.","N/A","https://www.ncd.mhlw.go.jp/dl_data/keitai/total.pdf",180,0,0,"clonazepam_below"
"Prescription: Mental Health","Klonopin (Clonazepam, Rivotril)","Clonazepam","🟡 Yellow","Prescription only, highly controlled.","N/A","More than 180mg","Controlled psychotropic. Exceeds the legal quantity limit for personal import without a permit.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.ncd.mhlw.go.jp/dl_data/keitai/total.pdf",180,14,28,"clonazepam_above"
"Prescription: Mental Health","Lexapro (Escitalopram, Cipralex)","Escitalopram","🟢 Green","Prescription only.","N/A","Up to 1-month supply","Standard prescription medication. Escitalopram is not listed as a controlled psychotropic or stimulant, so it falls under the general personal use exemption.","Check 'No' on customs form. Keep in original container with Rx copy.","N/A","N/A","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",30,0,0,"escitalopram_below"
"Prescription: Mental Health","Lexapro (Escitalopram, Cipralex)","Escitalopram","🟡 Yellow","Prescription only.","N/A","More than 1-month supply","Exceeds the standard allowance for a general prescription drug.","Check 'Yes' on customs form. Must obtain Import Confirmation Certificate in advance.","1. Online Application<br>2. Doctor's Prescription<br>3. Flight Itinerary","2-4 Weeks","https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html",30,14,28,"escitalopram_above"
